time,inlet,outlet,drop
0.0765,36.5817,0.0,36.5817
0.077,36.5164,0.0,36.5164
0.0775,36.4517,0.0,36.4517
0.078,36.3876,0.0,36.3876
0.0785,36.3243,0.0,36.3243
0.079,36.2618,0.0,36.2618
0.0795,36.1999,0.0,36.1999
0.08,36.1386,0.0,36.1386
0.0805,36.0779,0.0,36.0779
0.081,36.0178,0.0,36.0178
0.0815,35.9584,0.0,35.9584
0.082,35.8997,0.0,35.8997
0.0825,35.8416,0.0,35.8416
0.083,35.784,0.0,35.784
0.0835,35.7269,0.0,35.7269
0.084,35.6704,0.0,35.6704
0.0845,35.6146,0.0,35.6146
0.085,35.5594,0.0,35.5594
0.0855,35.5048,0.0,35.5048
0.086,35.4506,0.0,35.4506
0.0865,35.3969,0.0,35.3969
0.087,35.3438,0.0,35.3438
0.0875,35.2913,0.0,35.2913
0.088,35.2393,0.0,35.2393
0.0885,35.1877,0.0,35.1877
0.089,35.1365,0.0,35.1365
0.0895,35.0859,0.0,35.0859
0.09,35.0359,0.0,35.0359
0.0905,34.9864,0.0,34.9864
0.091,34.9372,0.0,34.9372
0.0915,34.8885,0.0,34.8885
0.092,34.8402,0.0,34.8402
0.0925,34.7925,0.0,34.7925
0.093,34.7453,0.0,34.7453
0.0935,34.6984,0.0,34.6984
0.094,34.6519,0.0,34.6519
0.0945,34.6058,0.0,34.6058
0.095,34.5602,0.0,34.5602
0.0955,34.5151,0.0,34.5151
0.096,34.4703,0.0,34.4703
0.0965,34.4259,0.0,34.4259
0.097,34.382,0.0,34.382
0.0975,34.3384,0.0,34.3384
0.098,34.2952,0.0,34.2952
0.0985,34.2524,0.0,34.2524
0.099,34.2099,0.0,34.2099
0.0995,34.1679,0.0,34.1679
0.1,34.1262,0.0,34.1262
0.1005,34.0848,0.0,34.0848
0.101,34.0438,0.0,34.0438
0.1015,34.0032,0.0,34.0032
0.102,33.9629,0.0,33.9629
0.1025,33.9229,0.0,33.9229
0.103,33.8833,0.0,33.8833
0.1035,33.844,0.0,33.844
0.104,33.8049,0.0,33.8049
0.1045,33.7663,0.0,33.7663
0.105,33.7279,0.0,33.7279
0.1055,33.6898,0.0,33.6898
0.106,33.652,0.0,33.652
0.1065,33.6145,0.0,33.6145
0.107,33.5772,0.0,33.5772
0.1075,33.5402,0.0,33.5402
0.108,33.5035,0.0,33.5035
0.1085,33.467,0.0,33.467
0.109,33.4308,0.0,33.4308
0.1095,33.3949,0.0,33.3949
0.11,33.3592,0.0,33.3592
0.1105,33.3238,0.0,33.3238
0.111,33.2886,0.0,33.2886
0.1115,33.2535,0.0,33.2535
0.112,33.2187,0.0,33.2187
0.1125,33.184,0.0,33.184
0.113,33.1496,0.0,33.1496
0.1135,33.1154,0.0,33.1154
0.114,33.0813,0.0,33.0813
0.1145,33.0475,0.0,33.0475
0.115,33.0138,0.0,33.0138
0.1155,32.9804,0.0,32.9804
0.116,32.9471,0.0,32.9471
0.1165,32.914,0.0,32.914
0.117,32.881,0.0,32.881
0.1175,32.8483,0.0,32.8483
0.118,32.8157,0.0,32.8157
0.1185,32.7833,0.0,32.7833
