time,Tuintergral,uintergral,Tbulk
0.0625,2760.66,32.1441,85.8838791566726
0.063,2773.08,32.1441,86.27026421645029
0.0635,2785.44,32.1442,86.65451310034159
0.064,2797.75,32.1442,87.0374748788273
0.0645,2810.0,32.1443,87.41829811195142
0.065,2822.2,32.1443,87.79783663044458
0.0655,2834.33,32.1444,88.17492315924392
0.066,2846.42,32.1444,88.55103843904382
0.0665,2858.44,32.1444,88.92497604559426
0.067,2870.41,32.1445,89.29708037144768
0.0675,2882.32,32.1445,89.66759476737856
0.068,2894.18,32.1445,90.03655368725597
0.0685,2905.98,32.1446,90.4033647953311
0.069,2917.72,32.1446,90.7685894364839
0.0695,2929.41,32.1447,91.13197510009425
0.07,2941.04,32.1447,91.49377657903169
0.0705,2952.61,32.1447,91.85371149831855
0.071,2964.13,32.1448,92.21180408650856
0.0715,2975.59,32.1448,92.56831587068517
0.072,2986.99,32.1448,92.9229611010179
0.0725,2998.34,32.1449,93.27576069609799
0.073,3009.63,32.1449,93.62698281842532
0.0735,3020.86,32.1449,93.97633839271549
0.074,3032.04,32.145,94.32384507699486
0.0745,3043.16,32.145,94.66977757038418
0.075,3054.22,32.145,95.013843521543
0.0755,3065.23,32.1451,95.35605737732968
0.076,3076.18,32.1451,95.69670027469193
0.0765,3087.08,32.1451,96.0357877250343
0.077,3097.92,32.1452,96.37270883366723
0.0775,3108.7,32.1452,96.70806216791308
0.078,3119.42,32.1452,97.04154897154163
0.0785,3130.09,32.1453,97.37317741629414
0.079,3140.71,32.1453,97.70355230780238
0.0795,3151.26,32.1453,98.0317495870314
0.08,3161.77,32.1454,98.35839653574072
0.0805,3172.21,32.1454,98.68317084248446
0.081,3182.6,32.1454,99.00638971672463
0.0815,3192.94,32.1454,99.32805315846123
0.082,3203.21,32.1455,99.6472290056151
0.0825,3213.44,32.1455,99.96546950584064
0.083,3223.6,32.1455,100.2815324073354
0.0835,3233.71,32.1456,100.59572694241201
0.084,3243.77,32.1456,100.9086780150316
0.0845,3253.77,32.1456,101.21976258025981
0.085,3263.72,32.1456,101.52929172266188
0.0855,3273.61,32.1457,101.8366375596114
0.086,3283.44,32.1457,102.14243273594914
0.0865,3293.23,32.1457,102.4469835778969
0.087,3302.95,32.1457,102.74935683466218
0.0875,3312.62,32.1458,103.04985410224663
0.088,3322.24,32.1458,103.34911559208356
0.0885,3331.81,32.1458,103.64682166877165
0.089,3341.31,32.1459,103.94202682146091
0.0895,3350.77,32.1459,104.23631007375747
0.09,3360.17,32.1459,104.52872683608174
0.0905,3369.52,32.1459,104.81958819009579
0.091,3378.82,32.1459,105.1088941357996
0.0915,3388.06,32.146,105.39600572388477
0.092,3397.25,32.146,105.68188888197598
0.0925,3406.39,32.146,105.96621663659553
0.093,3415.47,32.146,106.24867790704909
0.0935,3424.5,32.1461,106.52925238209302
0.094,3433.48,32.1461,106.8086019766006
0.0945,3442.41,32.1461,107.08639617247505
0.095,3451.29,32.1461,107.3626349697164
0.0955,3460.11,32.1462,107.63667245273159
0.096,3468.88,32.1462,107.90948852430459
0.0965,3477.6,32.1462,108.18074920208298
0.097,3486.27,32.1462,108.45045448606677
0.0975,3494.89,32.1462,108.71860437625598
0.098,3503.46,32.1463,108.98485984390118
0.0985,3511.98,32.1463,109.24989812202338
0.099,3520.44,32.1463,109.51306993339826
0.0995,3528.86,32.1463,109.77499743360823
0.1,3537.23,32.1464,110.03502725032975
0.1005,3545.55,32.1464,110.29384316750865
0.101,3553.81,32.1464,110.55079262374636
0.1015,3562.03,32.1464,110.80649777268995
0.102,3570.2,32.1464,111.06064753751586
0.1025,3578.32,32.1465,111.31289564960414
0.103,3586.4,32.1465,111.56424494112889
0.1035,3594.42,32.1465,111.81372777751854
0.104,3602.4,32.1465,112.0619663104848
0.1045,3610.33,32.1466,112.30830010016611
0.105,3618.21,32.1466,112.55342711204295
0.1055,3626.05,32.1466,112.79730982436712
0.106,3633.84,32.1467,113.0392855254194
0.1065,3641.58,32.1467,113.2800567398831
0.107,3649.27,32.1467,113.5192725847443
0.1075,3656.93,32.1467,113.75755520784402
0.108,3664.53,32.1468,113.99361678300797
0.1085,3672.09,32.1468,114.2287879353466
0.109,3679.6,32.1468,114.4624037229211
0.1095,3687.07,32.1468,114.6947752186843
0.11,3694.49,32.1468,114.92559134968333
0.1105,3701.87,32.1469,115.15480497341889
0.111,3709.2,32.1469,115.3828207385471
0.1115,3716.49,32.1469,115.60959221573462
0.112,3723.74,32.1469,115.8351194049815
0.1125,3730.94,32.1469,116.05909123430253
0.113,3738.1,32.147,116.28145705664603
0.1135,3745.21,32.147,116.502628550098
0.114,3752.28,32.147,116.7225557594799
0.1145,3759.31,32.147,116.94123868479174
0.115,3766.3,32.147,117.15867732603354
0.1155,3773.24,32.147,117.37456061218776
0.116,3780.14,32.147,117.58919961427193
0.1165,3787.0,32.1471,117.80222788369713
0.117,3793.82,32.1471,118.01437765770474
0.1175,3800.6,32.1471,118.22528315151288
0.118,3807.33,32.1471,118.4346332950717
0.1185,3814.02,32.1471,118.64273915843108
0.119,3820.68,32.1471,118.84991181164085
0.1195,3827.29,32.1471,119.05552911460131
0.12,3833.86,32.1472,119.25953115667929
0.1205,3840.39,32.1472,119.4626592673701
0.121,3846.88,32.1472,119.66454310173205
0.1215,3853.33,32.1472,119.86518265976508
0.122,3859.75,32.1472,120.06488901055147
0.1225,3866.12,32.1472,120.26304001592675
0.123,3872.45,32.1472,120.45994674497312
0.1235,3878.75,32.1472,120.65592026677285
0.124,3885.0,32.1473,120.8499625162922
0.1245,3891.22,32.1473,121.04344688356409
0.125,3897.4,32.1473,121.23568697837766
0.1255,3903.54,32.1473,121.42668280073288
0.126,3909.65,32.1473,121.61674541874434
0.1265,3915.71,32.1473,121.80525269618288
0.127,3921.74,32.1473,121.99282676927766
0.1275,3927.73,32.1473,122.17915656991411
0.128,3933.69,32.1474,122.3641725302824
0.1285,3939.61,32.1474,122.54832428127936
0.129,3945.49,32.1474,122.73123176368851
0.1295,3951.33,32.1474,122.91289497750985
0.13,3957.14,32.1474,123.09362498989033
0.1305,3962.91,32.1474,123.27311073368298
0.131,3968.65,32.1474,123.45166327603478
0.1315,3974.35,32.1474,123.62897154979875
0.132,3980.02,32.1474,123.80534662212186
0.1325,3985.65,32.1475,123.9800917645229
0.133,3991.25,32.1475,124.1542888249475
0.1335,3996.81,32.1475,124.32724162065479
0.134,4002.34,32.1475,124.4992612178241
0.1345,4007.84,32.1475,124.6703476164554
0.135,4013.3,32.1475,124.84018975036939
0.1355,4018.72,32.1475,125.00878761956605
0.136,4024.12,32.1475,125.17676335640407
0.1365,4029.47,32.1475,125.34318376234543
0.137,4034.8,32.1476,125.50859162114747
0.1375,4040.09,32.1476,125.67314511814259
0.138,4045.35,32.1476,125.83676541950256
0.1385,4050.58,32.1476,125.9994525252274
0.139,4055.78,32.1476,126.16120643531711
0.1395,4060.94,32.1476,126.32171608455998
0.14,4066.07,32.1476,126.48129253816772
0.1405,4071.17,32.1476,126.63993579614032
0.141,4076.24,32.1476,126.79764585847778
0.1415,4081.27,32.1476,126.9541116599684
0.142,4086.28,32.1476,127.10995533103562
0.1425,4091.25,32.1477,127.26415886673074
0.143,4096.19,32.1477,127.41782460331531
0.1435,4101.1,32.1477,127.57055714716762
0.144,4105.99,32.1477,127.72266756253168
0.1445,4110.84,32.1477,127.87353372091938
0.145,4115.66,32.1477,128.02346668657478
0.1455,4120.45,32.1477,128.17246645949788
0.146,4125.21,32.1477,128.32053303968868
0.1465,4129.94,32.1477,128.46766642714718
0.147,4134.64,32.1477,128.61386662187343
0.1475,4139.32,32.1477,128.75944468811142
0.148,4143.96,32.1478,128.90337752505616
0.1485,4148.57,32.1478,129.0467776955188
0.149,4153.16,32.1478,129.18955573942853
0.1495,4157.72,32.1478,129.33140059350876
0.15,4162.25,32.1478,129.47231225775948
0.1505,4166.75,32.1478,129.61229073218075
0.151,4171.22,32.1478,129.75133601677254
0.1515,4175.67,32.1478,129.88975917481136
0.152,4180.08,32.1478,130.02693807974418
0.1525,4184.47,32.1478,130.16349485812407
0.153,4188.84,32.1478,130.29942950995093
0.1535,4193.17,32.1478,130.43411990867185
0.154,4197.48,32.1479,130.5677820324189
0.1545,4201.76,32.1479,130.7009167006243
0.155,4206.01,32.1479,130.83311818190302
0.1555,4210.24,32.1479,130.96469753856394
0.156,4214.44,32.1479,131.0953437082982
0.1565,4218.62,32.1479,131.22536775341467
0.157,4222.77,32.1479,131.3544586116045
0.1575,4226.89,32.1479,131.48261628286764
0.158,4230.99,32.1479,131.61015182951297
0.1585,4235.06,32.1479,131.73675418923165
0.159,4239.11,32.1479,131.86273442433253
0.1595,4243.13,32.1479,131.98778147250675
0.16,4247.13,32.1479,132.1122063960632
0.1605,4251.1,32.1479,132.23569813269296
0.161,4255.05,32.148,132.3581560283688
0.1615,4258.97,32.148,132.48009207415703
0.162,4262.87,32.148,132.60140599726265
0.1625,4266.74,32.148,132.7217867363444
0.163,4270.59,32.148,132.84154535274357
0.1635,4274.42,32.148,132.96068184646012
0.164,4278.22,32.148,133.07888515615278
0.1645,4282.0,32.148,133.19646634316285
0.165,4285.75,32.148,133.31311434614904
0.1655,4289.48,32.148,133.42914022645263
0.166,4293.19,32.148,133.54454398407364
0.1665,4296.88,32.148,133.65932561901207
0.167,4300.54,32.148,133.77317406992657
0.1675,4304.18,32.148,133.88640039815851
0.168,4307.79,32.148,133.99869354236654
0.1685,4311.39,32.148,134.11067562523328
0.169,4314.96,32.1481,134.22130701347825
0.1695,4318.51,32.1481,134.33173344614457
0.17,4322.03,32.1481,134.44122669768976
0.1705,4325.54,32.1481,134.55040888886123
0.171,4329.02,32.1481,134.65865789891163
0.1715,4332.48,32.1481,134.76628478821453
0.172,4335.92,32.1481,134.8732895567701
0.1725,4339.34,32.1481,134.9796722045782
0.173,4342.74,32.1481,135.0854327316389
0.1735,4346.11,32.1481,135.19026007757844
0.174,4349.47,32.1481,135.29477636314434
0.1745,4352.8,32.1481,135.39835946758907
0.175,4356.11,32.1481,135.50132045128638
0.1755,4359.41,32.1481,135.60397037461001
0.176,4362.68,32.1481,135.70568711681253
0.1765,4365.93,32.1481,135.8067817382676
0.177,4369.16,32.1481,135.90725423897524
0.1775,4372.37,32.1482,136.00668155604356
0.178,4375.56,32.1482,136.10590950659758
0.1785,4378.73,32.1482,136.2045153383393
0.179,4381.88,32.1482,136.3024990512688
0.1795,4385.01,32.1482,136.39986064538604
0.18,4388.12,32.1482,136.49660012069103
0.1805,4391.21,32.1482,136.59271747718378
0.181,4394.29,32.1482,136.6885237742704
0.1815,4397.34,32.1482,136.78339689313864
0.182,4400.37,32.1482,136.87764789319462
0.1825,4403.39,32.1482,136.9715878338445
0.183,4406.39,32.1482,137.0649056556821
0.1835,4409.36,32.1482,137.15729029930134
0.184,4412.32,32.1482,137.24936388351446
0.1845,4415.26,32.1482,137.34081534891533
0.185,4418.19,32.1482,137.43195575491004
0.1855,4421.09,32.1482,137.52216298268644
0.186,4423.98,32.1482,137.61205915105666
0.1865,4426.84,32.1482,137.7010221412085
0.187,4429.69,32.1482,137.78967407195424
0.1875,4432.52,32.1483,137.87727500365494
0.188,4435.34,32.1483,137.9649934833257
0.1885,4438.14,32.1483,138.0520898461194
0.189,4440.91,32.1483,138.1382530335974
0.1895,4443.68,32.1483,138.22441622107547
0.19,4446.42,32.1483,138.30964623323786
0.1905,4449.15,32.1483,138.39456518696167
0.191,4451.86,32.1483,138.4788620238084
0.1915,4454.55,32.1483,138.56253674377805
0.192,4457.23,32.1483,138.64590040530913
0.1925,4459.89,32.1483,138.72864194996316
0.193,4462.53,32.1483,138.81076137774002
0.1935,4465.16,32.1483,138.8925697470784
0.194,4467.77,32.1483,138.97375599953966
0.1945,4470.36,32.1483,139.0543201351238
0.195,4472.94,32.1483,139.13457321226937
0.1955,4475.5,32.1483,139.2142041725379
0.196,4478.04,32.1483,139.2932130159293
0.1965,4480.57,32.1483,139.37191080088215
0.197,4483.09,32.1483,139.4502975273965
0.1975,4485.59,32.1483,139.5280621370337
0.198,4488.07,32.1483,139.6052046297938
0.1985,4490.53,32.1483,139.6817250056768
0.199,4492.99,32.1484,139.75781065309624
0.1995,4495.42,32.1484,139.83339761854398
0.2,4497.84,32.1484,139.90867352652074
0.2005,4500.25,32.1484,139.98363837702652
0.201,4502.64,32.1484,140.05798111259037
0.2015,4505.01,32.1484,140.13170173321222
0.202,4507.37,32.1484,140.2051112963631
0.2025,4509.72,32.1484,140.27820980204302
0.203,4512.05,32.1484,140.35068619278098
0.2035,4514.37,32.1484,140.42285152604794
0.204,4516.67,32.1484,140.49439474437295
0.2045,4518.96,32.1484,140.565626905227
0.205,4521.23,32.1484,140.63623695113907
0.2055,4523.49,32.1484,140.7065359395802
0.206,4525.73,32.1484,140.77621281307933
0.2065,4527.96,32.1484,140.8455786291075
0.207,4530.18,32.1484,140.9146333876647
0.2075,4532.38,32.1484,140.98306603127995
0.208,4534.57,32.1484,141.05118761742418
0.2085,4536.75,32.1484,141.11899814609745
0.209,4538.91,32.1484,141.18618655982877
0.2095,4541.06,32.1484,141.25306391608913
0.21,4543.19,32.1484,141.3193191574075
0.2105,4545.32,32.1484,141.38557439872588
0.211,4547.42,32.1484,141.45089646763134
0.2115,4549.52,32.1484,141.51621853653683
0.212,4551.6,32.1484,141.5809184905003
0.2125,4553.67,32.1484,141.6453073869928
0.213,4555.73,32.1485,141.70894442975566
0.2135,4557.77,32.1485,141.77239995645212
0.214,4559.8,32.1485,141.8355444266451
0.2145,4561.82,32.1485,141.8983778403347
0.215,4563.82,32.1485,141.96058914101746
0.2155,4565.81,32.1485,142.02248938519685
0.216,4567.79,32.1485,142.08407857287276
0.2165,4569.76,32.1485,142.1453567040453
0.217,4571.71,32.1485,142.206012722211
0.2175,4573.66,32.1485,142.2666687403767
0.218,4575.59,32.1485,142.32670264553556
0.2185,4577.51,32.1485,142.38642549419103
0.219,4579.41,32.1485,142.44552622983966
0.2195,4581.31,32.1485,142.5046269654883
0.22,4583.19,32.1485,142.56310558813007
0.2205,4585.06,32.1485,142.6212731542685
0.221,4586.92,32.1485,142.67912966390347
0.2215,4588.77,32.1485,142.73667511703502
0.222,4590.6,32.1485,142.79359845715976
0.2225,4592.43,32.1485,142.8505217972845
0.223,4594.24,32.1485,142.90682302440237
0.2235,4596.04,32.1485,142.96281319501688
0.224,4597.83,32.1485,143.01849230912796
0.2245,4599.61,32.1485,143.0738603667356
0.225,4601.38,32.1485,143.12891736783988
0.2255,4603.14,32.1485,143.18366331244073
0.226,4604.88,32.1485,143.2377871440347
0.2265,4606.62,32.1485,143.29191097562872
0.227,4608.34,32.1485,143.34541269421592
0.2275,4610.06,32.1485,143.3989144128031
0.228,4611.76,32.1485,143.45179401838345
0.2285,4613.45,32.1485,143.5043625674604
0.229,4615.13,32.1485,143.5566200600339
0.2295,4616.8,32.1485,143.60856649610403
0.23,4618.46,32.1485,143.66020187567074
0.2305,4620.11,32.1486,143.71107917607608
0.231,4621.75,32.1486,143.76209228395638
0.2315,4623.38,32.1486,143.8127943363008
0.232,4625.0,32.1486,143.86318533310936
0.2325,4626.61,32.1486,143.91326527438207
0.233,4628.21,32.1486,143.96303416011895
0.2335,4629.8,32.1486,144.01249199031994
0.234,4631.38,32.1486,144.0616387649851
0.2345,4632.94,32.1486,144.11016342857852
0.235,4634.5,32.1486,144.15868809217196
0.2355,4636.05,32.1486,144.20690170022957
0.236,4637.59,32.1486,144.25480425275128
0.2365,4639.12,32.1486,144.30239574973714
0.237,4640.64,32.1486,144.34967619118717
0.2375,4642.15,32.1486,144.3966455771013
0.238,4643.66,32.1486,144.44361496301548
0.2385,4645.15,32.1486,144.48996223785792
0.239,4646.63,32.1486,144.53599845716454
0.2395,4648.1,32.1486,144.5817236209353
0.24,4649.57,32.1486,144.627448784706
0.2405,4651.02,32.1486,144.67255183740505
0.241,4652.47,32.1486,144.7176548901041
0.2415,4653.9,32.1486,144.76213583173137
0.242,4655.33,32.1486,144.8066167733587
0.2425,4656.75,32.1486,144.85078665945016
0.243,4658.16,32.1486,144.8946454900058
0.2435,4659.56,32.1486,144.93819326502555
0.244,4660.95,32.1486,144.98142998450942
0.2445,4662.34,32.1486,145.02466670399332
0.245,4663.71,32.1486,145.0672813124055
0.2455,4665.08,32.1486,145.1098959208177
0.246,4666.44,32.1486,145.15219947369403
0.2465,4667.79,32.1486,145.1941919710345
0.247,4669.13,32.1486,145.2358734128391
0.2475,4670.46,32.1486,145.27724379910788
0.248,4671.78,32.1486,145.31830312984079
0.2485,4673.1,32.1486,145.35936246057372
0.249,4674.41,32.1486,145.40011073577074
0.2495,4675.71,32.1486,145.44054795543195
0.25,4677.0,32.1486,145.4806741195573
0.2505,4678.28,32.1486,145.52048922814677
0.251,4679.56,32.1486,145.5603043367363
0.2515,4680.82,32.1486,145.59949733425404
0.252,4682.08,32.1486,145.6386903317718
0.2525,4683.33,32.1486,145.67757227375375
0.253,4684.58,32.1487,145.71600095804808
0.2535,4685.81,32.1487,145.75426066994936
0.254,4687.04,32.1487,145.7925203818506
0.2545,4688.26,32.1487,145.83046903918355
0.255,4689.47,32.1487,145.8681066419482
0.2555,4690.68,32.1487,145.90574424471288
0.256,4691.87,32.1487,145.9427597383409
0.2565,4693.06,32.1487,145.97977523196897
0.257,4694.25,32.1487,146.016790725597
0.2575,4695.42,32.1487,146.05318411008844
0.258,4696.59,32.1487,146.08957749457988
0.2585,4697.75,32.1487,146.12565982450303
